,code,name,date,weight
265,002642,荣之联,2017-06-01,0.18
266,002640,跨境通,2017-06-01,0.22
267,002505,大康农业,2017-06-01,0.16
268,002489,浙江永强,2017-06-01,0.2
269,002407,多氟多,2017-06-01,0.25
270,002399,海普瑞,2017-06-01,0.21
271,002384,东山精密,2017-06-01,0.29
272,002368,太极股份,2017-06-01,0.15
273,002358,森源电气,2017-06-01,0.18
274,002345,潮宏基,2017-06-01,0.11
275,002244,滨江集团,2017-06-01,0.17
276,002168,深圳惠程,2017-06-01,0.39
277,002128,露天煤业,2017-06-01,0.16
278,002122,天马股份,2017-06-01,0.17
279,002118,紫鑫药业,2017-06-01,0.09
280,002050,三花智控,2017-06-01,0.27
281,002025,航天电器,2017-06-01,0.18
282,002013,中航机电,2017-06-01,0.28
283,000861,海印股份,2017-06-01,0.11
284,000726,鲁 泰Ａ,2017-06-01,0.15
285,000656,金科股份,2017-06-01,0.68
286,000563,陕国投Ａ,2017-06-01,0.16
287,000099,中信海直,2017-06-01,0.13
288,000012,南 玻Ａ,2017-06-01,0.22
289,600120,浙江东方,2017-06-01,0.21
290,300055,万邦达,2017-06-01,0.3
291,002422,科伦药业,2017-06-01,0.37
292,002431,棕榈股份,2017-06-01,0.25
293,000960,锡业股份,2017-06-01,0.23
294,000685,中山公用,2017-06-01,0.22
295,000930,中粮生化,2017-06-01,0.26
296,600483,福能股份,2017-06-01,0.09
297,002273,水晶光电,2017-06-01,0.28
298,600978,宜华生活,2017-06-01,0.32
299,002390,信邦制药,2017-06-01,0.23
300,000021,深科技,2017-06-01,0.17
301,600801,华新水泥,2017-06-01,0.11
302,002665,首航节能,2017-06-01,0.25
303,002051,中工国际,2017-06-01,0.24
304,601311,骆驼股份,2017-06-01,0.16
305,600395,盘江股份,2017-06-01,0.12
306,600497,驰宏锌锗,2017-06-01,0.27
307,002123,梦网荣信,2017-06-01,0.14
308,002092,中泰化学,2017-06-01,0.39
309,000543,皖能电力,2017-06-01,0.16
310,600143,金发科技,2017-06-01,0.25
311,603188,亚邦股份,2017-06-01,0.16
312,000598,兴蓉环境,2017-06-01,0.27
313,600122,宏图高科,2017-06-01,0.29
